"UniqueCellID","Group","Poon_et_al_2022_nat_immunol_Human_Lung_CD4_TRM","Poon_et_al_2022_nat_immunol_Human_Skin_CD4_TRM","Poon_et_al_2022_nat_immunol_Human_jejunum_CD4_TRM","Zhang_2022_Gut_Human_Liver_HBV_infiltrating_CD4","Zheng_2017_Cell_Human_HCC_infiltrating_CD4","Argyriou_2022_Nat_Comm_Human_Synovial_tissues_TPH","Law_et_al_2024_Nature_Human_Synovial_tissues_TPH"
"huDistalExp1_plate1_BC20","huDistalExp1_plate1_BC20","C.ALB",0.134272501228245,0.580392493337549,0.185373726659671,-0.0192011825976219,-0.0802649290231776,0.121192854986512,0.136280487027665
"huDistalExp1_plate1_BC33","huDistalExp1_plate1_BC33","Auto-reactivity",0.244311181933614,0.464872238563532,0.155429179710241,0.278764489013022,0.0900366311414588,0.343810257554613,0.289951381748312
"huDistalExp1_plate1_BC57","huDistalExp1_plate1_BC57","H1N1",0.592384956958352,0.588856436612178,0.239171254069382,0.379845533494601,0.280693422896382,0.281714979029335,0.442976313827464
"huDistalExp1_plate2_BC81","huDistalExp1_plate2_BC81","H1N1",0.0701184297964672,0.181518710729324,0.0403947160225653,-0.229443072270188,-0.298656482745597,-0.149441468405207,-0.0928823845134176
"huDistalExp1_plate2_BC1","huDistalExp1_plate2_BC1","Auto-reactivity",0.177139813729145,0.542711946001846,-0.041922661752309,0.264027928900469,0.114331392814714,0.0753437855536806,0.204254278693962
"huDistalExp1_plate2_BC11","huDistalExp1_plate2_BC11","SARS-CoV-2",-0.148944260825937,0.0215218105191326,-0.0651087928482728,-0.0494700514529457,0.0989484575015106,-0.092327433764976,-0.0649377779314302
"huDistalExp1_plate2_BC60","huDistalExp1_plate2_BC60","C.ALB",0.225137593192615,0.159315544559078,0.263387747736783,0.19832363944006,0.0681295905623075,-0.0433015131023378,0.148485843500016
"huDistalExp1_plate5_BC13","huDistalExp1_plate5_BC13","Auto-reactivity",-0.290510700776857,-0.154028899581887,-0.273918989271151,0.249917045697613,0.158923634598957,-0.0381637157836636,0.00535299001947243
"huDistalExp1_plate5_BC15","huDistalExp1_plate5_BC15","Auto-reactivity",-0.141939723631295,-0.0211688891838424,-0.303106822795327,0.0466609527635844,0.0840426511817164,0.0823950539713734,0.178831079884072
"huDistalExp1_plate5_BC5","huDistalExp1_plate5_BC5","Auto-reactivity",0.119560057982974,0.00829565806896893,-0.216710278159987,0.239994172372338,0.238697903724251,0.248436129343665,0.255836287447409
"huDistalExp1_plate5_BC10","huDistalExp1_plate5_BC10","Auto-reactivity",-0.226888358921548,0.171804590142986,-0.00354034915730317,0.203811590763539,0.165359683547089,0.085601868218426,-0.0924955737637125
"huDistalExp1_plate5_BC47","huDistalExp1_plate5_BC47","Auto-reactivity",0.22469672538058,0.0774735176295805,0.00697879989282346,0.259923582980758,0.475770798415785,0.306082646292049,0.33700880019457
"huDistalExp1_plate5_BC7","huDistalExp1_plate5_BC7","Auto-reactivity",-0.191436651219785,-0.0371193450357103,-0.22828747002193,0.0463970493829415,0.342148905576657,0.120150084103675,0.157224735443175
"huDistalExp1_plate5_BC4","huDistalExp1_plate5_BC4","Auto-reactivity",-0.138067652632084,0.00144287729585191,-0.266587882451731,0.114948719993978,-0.0443672676903489,-0.00827617375561296,0.122898714642109
"huDistalExp1_plate5_BC27","huDistalExp1_plate5_BC27","Auto-reactivity",0.0443203015073343,-0.0190965852578813,-0.108127878241313,0.116245478185815,0.353690715116698,0.258412361145787,0.313258425016333
"huDistalExp1_plate5_BC1","huDistalExp1_plate5_BC1","Auto-reactivity",0.0623648831660336,0.101223250452336,0.0629445605750967,0.45671309580688,0.200271435246949,0.172279375011192,0.218844030143036
"huDistalExp1_plate5_BC17","huDistalExp1_plate5_BC17","Auto-reactivity",0.306095098283409,-0.0970865278372054,-0.117944067411887,0.382492395643908,0.53641362139664,0.606101562633674,0.55709426648691
"huDistalExp1_plate5_BC23","huDistalExp1_plate5_BC23","C.ALB",0.233405372582398,0.0777573408944092,0.257998839993454,-0.0143319808797219,-0.00707514245543062,0.015924225710879,0.0268111698480077
"huDistalExp1_plate5_BC25","huDistalExp1_plate5_BC25","H1N1",0.251819987408723,0.151280549019369,-0.0101116884552686,0.141240788361578,0.181803609735507,-0.0473033166531536,0.114580607797208
"huDistalExp1_plate5_BC36","huDistalExp1_plate5_BC36","H1N1",0.203400590726319,0.399050339804637,0.489135218743252,0.240795243163858,-0.0535159910969641,-0.0574031125570527,0.122120217391312
"huDistalExp1_plate5_BC22","huDistalExp1_plate5_BC22","Auto-reactivity",-0.0102431719051181,0.254835616381546,0.0106915140726733,0.27473305005228,0.369929209133805,0.232221511277434,0.257908356889265
"huDistalExp1_plate5_BC18","huDistalExp1_plate5_BC18","Auto-reactivity",0.121934246890495,0.410756686377832,0.195395508769399,0.460533727330614,0.445129409825717,0.117036945088173,0.26047204888157
"huDistalExp1_plate5_BC12","huDistalExp1_plate5_BC12","Auto-reactivity",0.151421273801131,0.340706602225525,0.22550567474362,0.262025730588628,0.206633939267348,0.230200887871082,0.387907324340105
